name,price,num_reviews,per_cnt_price,url
Unisex Washable and Reusable Cotton Warm Face Protection for Outdoor,12.99,292,($6.50/Count),https://amazon.com//Unisex-Washable-Reusable-Protection-Outdoor/dp/B088FVJTXG/ref=sr_1_37?dchild=1&keywords=Masks&qid=1594605010&sr=8-37
Quality Durables Adults and Kids 4-Pack Reusable Face Covering,18.00,396,-,https://amazon.com//Quality-Durables-Reusable-Covering-Heather/dp/B088BWP7VH/ref=sr_1_38?dchild=1&keywords=Masks&qid=1594605010&sr=8-38
"TomrickCare Face Masks, 3-Ply Breathable Masks 5 sets of 10 per Box,  Comfortable Earloops(50 Pack)",27.31,129,($0.55/Count),https://amazon.com//TomrickCare-Masks-Breathable-Comfortable-Earloops/dp/B0892T3YLS/ref=sr_1_39?dchild=1&keywords=Masks&qid=1594605010&sr=8-39
"Disposable Face Mask, Pack of 50",29.99,210,($0.60/Item),https://amazon.com//Disposable-Face-Mask-Pack-50/dp/B0877TJL3M/ref=sr_1_40?dchild=1&keywords=Masks&qid=1594605010&sr=8-40
"Disposable Face Mask, ESOLOM 3-Ply Facial Cover Masks with Ear Loop, Breathable Non-Woven Mouth Cover for Personal, Suitable for Home, Office, Outdoor- 50 PCS",24.99,386,($0.50/Count),https://amazon.com//Disposable-ESOLOM-Breathable-Non-Woven-Personal/dp/B086QLH269/ref=sr_1_41?dchild=1&keywords=Masks&qid=1594605010&sr=8-41
"Fruit of the Loom Reusable Cotton Face Mask (Packs of 50, 100, and 250)",53.75,103,-,https://amazon.com//Fruit-Loom-Reusable-Cotton-Face-Mask/dp/B086ZHZY6T/ref=sr_1_42?dchild=1&keywords=Masks&qid=1594605010&sr=8-42
ZUBREX Disposable 3 Ply Safety Face Mask for Protection - with Nanofiber Filter Lining - and Elastic Earloops - 50 Pcs (Blue),29.99,446,More Buying Choices,https://amazon.com//ZUBREX-Disposable-Safety-Face-Protection/dp/B088BY7YPX/ref=sr_1_43?dchild=1&keywords=Masks&qid=1594605010&sr=8-43
SUNCOO Disposable Face Mask Dust Particle 3-Layer Design Mask with Earloops - 50 Pack,23.99,"1,006",More Buying Choices,https://amazon.com//SUNCOO-Disposable-Particle-3-Layer-Earloops/dp/B0868YY9MW/ref=sr_1_44?dchild=1&keywords=Masks&qid=1594605010&sr=8-44
"Sfavereak 50pcs Disposable Face Mask 3 Layers Safety Masks With Elastic Ear Loop Comfortable for Blocking Dust Air Pollution Protection, 1count",19.99,423,More Buying Choices,https://amazon.com//Sfavereak-Disposable-Comfortable-Pollution-Protection/dp/B08725VTGK/ref=sr_1_45?dchild=1&keywords=Masks&qid=1594605010&sr=8-45
"Levi's Men's 100% Cotton Multi-Purpose Bandana Gift Sets – Headband, Wrap, Protective Coverage",15.85,"3,099",-,https://amazon.com//Levis-Bandanas-Gift-White-Black/dp/B0765YZMZ6/ref=sr_1_46?dchild=1&keywords=Masks&qid=1594605010&sr=8-46
3pcs/Pack Dust Masks Breathable Reusable for Outdoor Sport Half Face Earloop Masks Dust Pollen Cotton Black Masks (Black),14.99,218,($5.00/Count),https://amazon.com//Breathable-Reusable-Outdoor-Earloop-Pollen/dp/B086R5TCNK/ref=sr_1_47?dchild=1&keywords=Masks&qid=1594605010&sr=8-47
"Face Mask, Eventronic Face Mask Cover, Disposable Mask, Comfortable and Breathable.(50 PCS, Blue)",19.99,213,More Buying Choices,https://amazon.com//Eventronic-Cover-Disposable-Comfortable-Breathable/dp/B086BL73FP/ref=sr_1_48?dchild=1&keywords=Masks&qid=1594605010&sr=8-48
"CKW 3 Ply Disposable Protective Mask, 50 Masks in Box, Blue, 19x10x8.8cm",28.90,599,($0.58/Count),https://amazon.com//CKW-Disposable-Protective-Masks-19x10x8-8cm/dp/B086Y21B7Z/ref=sr_1_49?dchild=1&keywords=Masks&qid=1594605010&sr=8-49
TODOLOR Face Mask 3-Layer Protective Earloop Blue 50Pcs,19.99,167,($0.40/Count),https://amazon.com//TODOLOR-3-Layer-Protective-Earloop-50Pcs/dp/B087Z5BD9H/ref=sr_1_50?dchild=1&keywords=Masks&qid=1594605010&sr=8-50
