name,price,num_reviews,per_cnt_price,url,timestamp
Gildan Reusable Adult Tie-On Triple Layer Mask (Pack of 48),39.99,298,-,https://amazon.com//Gildan-Reusable-Adult-Triple-Layer/dp/B086QS2YHF/ref=sr_1_35?dchild=1&keywords=Masks&qid=1594841003&sr=8-35,2020-07-15 15:23:27
Disposable Face Mask - Pack of 50 - Blue,29.99,449,($0.60/Item),https://amazon.com//Disposable-Face-Mask-Pack-Blue/dp/B086MPXGKJ/ref=sr_1_36?dchild=1&keywords=Masks&qid=1594841003&sr=8-36,2020-07-15 15:23:27
Quality Durables Adults and Kids 4-Pack Reusable Face Covering,18.00,427,-,https://amazon.com//Quality-Durables-Reusable-Covering-Heather/dp/B088BWP7VH/ref=sr_1_37?dchild=1&keywords=Masks&qid=1594841003&sr=8-37,2020-07-15 15:23:27
"Disposable Face Mask, Pack of 50",29.99,219,($0.60/Item),https://amazon.com//Disposable-Face-Mask-Pack-50/dp/B0877TJL3M/ref=sr_1_38?dchild=1&keywords=Masks&qid=1594841003&sr=8-38,2020-07-15 15:23:27
"TomrickCare Face Masks, 3-Ply Breathable Masks 5 sets of 10 per Box,  Comfortable Earloops(50 Pack)",29.98,148,($0.60/Count),https://amazon.com//TomrickCare-Masks-Breathable-Comfortable-Earloops/dp/B0892T3YLS/ref=sr_1_39?dchild=1&keywords=Masks&qid=1594841003&sr=8-39,2020-07-15 15:23:27
"Levi's Men's 100% Cotton Multi-Purpose Bandana Gift Sets – Headband, Wrap, Protective Coverage",15.85,"3,157",-,https://amazon.com//Levis-Bandanas-Gift-White-Black/dp/B0765YZMZ6/ref=sr_1_40?dchild=1&keywords=Masks&qid=1594841003&sr=8-40,2020-07-15 15:23:27
50 Pcs Disposable Face Cover 3-Ply Filter Non Medical Breathable Earloop Masks (Orange),25.99,2,-,https://amazon.com//Disposable-Filter-Medical-Breathable-Earloop/dp/B08BWY3XL4/ref=sr_1_41?dchild=1&keywords=Masks&qid=1594841003&sr=8-41,2020-07-15 15:23:27
3pcs/Pack Dust Masks Breathable Reusable for Outdoor Sport Half Face Earloop Masks Dust Pollen Cotton Black Masks (Black),14.99,239,($5.00/Count),https://amazon.com//Breathable-Reusable-Outdoor-Earloop-Pollen/dp/B086R5TCNK/ref=sr_1_42?dchild=1&keywords=Masks&qid=1594841003&sr=8-42,2020-07-15 15:23:27
Reusable Face Cover (Pack of 3),16.04,780,($5.35/Item),https://amazon.com//Reusable-Face-Cover-Pack-3/dp/B086ZMN1N3/ref=sr_1_43?dchild=1&keywords=Masks&qid=1594841003&sr=8-43,2020-07-15 15:23:27
"Disposable Face Mask, ESOLOM 3-Ply Facial Cover Masks with Ear Loop, Breathable Non-Woven Mouth Cover for Personal, Suitable for Home, Office, Outdoor- 50 PCS",24.99,484,($0.50/Count),https://amazon.com//Disposable-ESOLOM-Breathable-Non-Woven-Personal/dp/B086QLH269/ref=sr_1_44?dchild=1&keywords=Masks&qid=1594841003&sr=8-44,2020-07-15 15:23:27
"Disposable Face Mask, Breathable Masks (2 x 50 Boxes) 100 count",52.99,29,($0.53/count),https://amazon.com//Disposable-Breathable-Masks-Boxes-count/dp/B08BN1YTPQ/ref=sr_1_45?dchild=1&keywords=Masks&qid=1594841003&sr=8-45,2020-07-15 15:23:27
6 Pack Fabric Face Mask Reusable Double Fabric Layers - Made in USA (6 Pack),27.99,515,($4.67/Count),https://amazon.com//Pack-Fabric-Reusable-Double-Layers/dp/B087W4D243/ref=sr_1_46?dchild=1&keywords=Masks&qid=1594841003&sr=8-46,2020-07-15 15:23:27
"50pcs Disposable Face Mask, Safty Masks, Mouth Masks 3-Ply with Elastic Earloops, Breathable Non-woven Mouth Filter Covers for Home, Office, Outdoor - White",19.98,43,($0.40/Count),https://amazon.com//Disposable-Elastic-Earloops-Breathable-Non-woven/dp/B087YWW2PL/ref=sr_1_47?dchild=1&keywords=Masks&qid=1594841003&sr=8-47,2020-07-15 15:23:27
"CKW 3 Ply Disposable Protective Mask, 50 Masks in Box, Blue, 19x10x8.8cm",28.90,629,($0.58/Count),https://amazon.com//CKW-Disposable-Protective-Masks-19x10x8-8cm/dp/B086Y21B7Z/ref=sr_1_48?dchild=1&keywords=Masks&qid=1594841003&sr=8-48,2020-07-15 15:23:27
ZUBREX Disposable 3 Ply Safety Face Mask for Protection - with Nanofiber Filter Lining - and Elastic Earloops - 50 Pcs (Blue),29.99,476,More Buying Choices,https://amazon.com//ZUBREX-Disposable-Safety-Face-Protection/dp/B088BY7YPX/ref=sr_1_49?dchild=1&keywords=Masks&qid=1594841003&sr=8-49,2020-07-15 15:23:27
"Disposable Face Masks, 3 Layers Breathable and Comfortable Elastic Ear Loop, Pack of 50 PCS",29.99,231,($0.60/Count),https://amazon.com//Disposable-Layers-Breathable-Comfortable-Elastic/dp/B088M6YFDJ/ref=sr_1_50?dchild=1&keywords=Masks&qid=1594841003&sr=8-50,2020-07-15 15:23:27
TODOLOR Face Mask 3-Layer Protective Earloop Blue 50Pcs,19.99,179,($0.40/Count),https://amazon.com//TODOLOR-3-Layer-Protective-Earloop-50Pcs/dp/B087Z5BD9H/ref=sr_1_51?dchild=1&keywords=Masks&qid=1594841003&sr=8-51,2020-07-15 15:23:27
Fashion Mouth Protection Unisex Washable and Reusable Cotton Warm Face Protection with Adjustable Bridge Design (3-Pack Black),15.69,"1,620",($5.23/Count),https://amazon.com//Fashion-Protection-Washable-Reusable-Adjustable/dp/B0855PDTYG/ref=sr_1_52?dchild=1&keywords=Masks&qid=1594841003&sr=8-52,2020-07-15 15:23:27
